"p_val" "avg_log2FC" "pct.1" "pct.2" "p_val_adj"
"TIPRL" 1.04408856792658e-32 1.127387942108 0.678 0.037 2.08817713585316e-29
"PIM1" 2.33365977565684e-32 1.38164619401986 0.356 0.06 4.66731955131368e-29
"GZMA" 1.49282432419798e-27 -1.35004578636187 0.973 0.304 2.98564864839596e-24
"LGALS1" 2.72609859372227e-27 1.27204651169205 0.371 0.04 5.45219718744455e-24
"TM9SF1" 8.57765278880016e-26 1.19039532193184 0.371 0.009 1.71553055776003e-22
"ANXA1" 6.04918386958438e-24 -2.06240494476729 1 0.329 1.20983677391688e-20
"RGCC" 4.99572313069874e-16 -2.42755750891316 1 0.673 9.99144626139747e-13
"ENC1" 5.17339684667281e-15 -1.65820825616272 0.78 0.206 1.03467936933456e-11
"DUSP4" 1.05212810757352e-14 -3.26167784296886 1 0.647 2.10425621514703e-11
"HSPH1" 1.30620877219119e-12 -1.47744449669064 0.996 0.385 2.61241754438237e-09
"CCDC50" 5.41923214932824e-12 1.01231717184024 0.417 0.005 1.08384642986565e-08
"STMN1" 1.23643719653341e-11 -1.0287983156568 0.644 0.078 2.47287439306682e-08
"SELL" 4.6083544478962e-11 1.02338525233562 0.436 0.078 9.21670889579241e-08
"ZFP36" 5.51179249436585e-11 -1.94219964723895 1 0.667 1.10235849887317e-07
"FOSB" 1.38313816005745e-10 -2.56953336609158 1 0.388 2.76627632011491e-07
"HHEX" 2.27928606950023e-07 1.10883371651193 0.186 0.001 0.000455857213900045
"PIK3R1" 3.10102174260042e-07 -1.33710504158595 0.996 0.434 0.000620204348520084
"BIRC3" 4.45118431108904e-06 -1.57648807676235 1 0.429 0.00890236862217807
"CD74" 2.82114446654991e-05 -1.87817878967524 1 0.585 0.0564228893309982
"MYADM" 7.85211912544368e-05 -2.28883920680218 1 0.433 0.157042382508874
"SLC7A4" 0.00017406078958852 1.10581080831068 0.545 0.001 0.348121579177039
"FOSL2" 0.000287181682230976 -1.44984246896636 1 0.45 0.574363364461952
"GZMK" 0.0108233143935431 -2.81162717883365 1 0.559 1
"CD8A" 0.0273311079868508 -1.33710226974348 0.758 0.429 1
"CRIP1" 0.047842379207855 1.4833763142709 0.485 0.021 1
"DNAJB1" 0.178378375090474 -2.21725217341115 1 0.545 1
"FGL2" 0.859391713994643 1.32191106233613 0.489 0.005 1
