"p_val" "avg_log2FC" "pct.1" "pct.2" "p_val_adj"
"PDLIM4" 8.27488431439654e-17 -1.45988027336299 0.152 0.128 1.65497686287931e-13
"HSPB1" 1.06172328566193e-16 -2.37646312333334 1 0.321 2.12344657132386e-13
"TNFRSF9" 3.33436941422146e-15 -2.49822881715335 0.992 0.326 6.66873882844293e-12
"KRT81" 1.04363779496236e-14 -1.1493589577152 0.333 0.077 2.08727558992472e-11
"S100A6" 4.68555784817946e-14 1.62590947541068 0.902 0.377 9.37111569635892e-11
"AHI1" 3.41048146914377e-13 -1.90294671112286 0.746 0.174 6.82096293828754e-10
"RGCC" 4.11444655570285e-12 -2.08654736234771 1 0.679 8.2288931114057e-09
"CD8A" 6.26886638151283e-12 -1.59883955424402 0.758 0.607 1.25377327630257e-08
"ITM2A" 9.44545665532213e-12 -1.68088653972262 1 0.363 1.88909133106443e-08
"CD63" 1.55344787286829e-11 -2.56037853090881 1 0.353 3.10689574573658e-08
"CTLA4" 3.51464471599653e-11 -2.08432019692584 0.92 0.305 7.02928943199306e-08
"ALOX5AP" 3.81847966758602e-11 -2.16406208933799 1 0.358 7.63695933517203e-08
"LIMS1" 5.01222739632258e-11 -1.15589826005272 0.803 0.212 1.00244547926452e-07
"TM9SF1" 8.75642857722531e-11 1.28017665893807 0.371 0.009 1.75128571544506e-07
"HAVCR2" 9.37949351751438e-11 -2.27754890424402 0.614 0.223 1.87589870350288e-07
"DNAJB1" 2.93633589296569e-10 -1.41945698609276 1 0.379 5.87267178593139e-07
"FOSL2" 2.1797731091253e-08 -1.99202987354812 1 0.649 4.3595462182506e-05
"CD74" 2.73581801537315e-07 -1.73581627956583 1 0.623 0.000547163603074631
"HSPH1" 8.97287883321492e-05 -1.35349242553832 0.996 0.433 0.179457576664298
"TIGIT" 0.000163544492979483 -2.3916942930465 0.936 0.381 0.327088985958967
"SELL" 0.000276141200948423 1.91902017603165 0.436 0.028 0.552282401896847
"TNFRSF1B" 0.000306234510421512 -1.63432380401737 1 0.44 0.612469020843024
"ZFP36" 0.000552776505568338 -1.34969167502576 1 0.635 1
"SRGN" 0.000587540344073956 1.65908045801278 1 0.842 1
"DBI" 0.000902736917146571 -1.22854419278204 0.716 0.212 1
"EIF4EBP2" 0.00277575896763767 -1.21662107845919 0.674 0.17 1
"HHEX" 0.00353965408267579 1.16318910787582 0.186 0 1
"STMN1" 0.00434308128324394 -1.50290060032747 0.644 0.133 1
"SLC7A5" 0.020699700684171 -2.5286409482948 1 0.567 1
"KCNK5" 0.0223283938056755 -1.08236981545293 0.375 0.065 1
"CSF1" 0.0292810017687255 -1.8169518482566 0.394 0.137 1
"JUN" 0.0755844551429365 -2.97444079036752 0.966 0.533 1
"CHST12" 0.14432192472143 -1.59852568565098 0.682 0.226 1
"CRIP1" 0.1620576053348 1.51201023774681 0.485 0.03 1
"AKAP5" 0.164296147845689 -1.98633745720169 0.489 0.181 1
"ITGAE" 0.264850084546175 -1.88603279318161 0.826 0.374 1
"RBPJ" 0.381896607188072 -1.60550348827627 0.996 0.5 1
"POU2F2" 0.446844583701809 -1.121117410998 0.602 0.147 1
"VCAM1" 0.492028368242574 -1.39797567362743 0.155 0.116 1
"KLF2" 0.651626306295741 1.67979907172404 0.508 0.042 1
"MYO7A" 0.729756219071561 -2.44197707102743 0.545 0.263 1
"FGL2" 0.754669864639271 1.19286292372681 0.489 0.014 1
"BIRC3" 0.828871554963407 -1.72780090985512 1 0.512 1
"KRT86" 0.918495614728816 -3.74198286888566 0.955 0.491 1
"SOX4" 0.979161679105364 -1.13662751164371 0.508 0.095 1
