"p_val" "avg_log2FC" "pct.1" "pct.2" "p_val_adj"
"ITGAE" 0.000977423812501859 -1.18709745168874 0.272 0.374 1
"KLRD1" 0.00174691747769619 -1.35027168231074 0.112 0.223 1
"GABARAPL1" 0.00188306871036111 -1.3884421329011 0.12 0.228 1
"TNFRSF9" 0.00198336637079924 -1.38243017031826 0.216 0.326 1
"PRF1" 0.00208160030340189 -1.08118614633312 0.208 0.319 1
"HTRA1" 0.00464140939354325 -1.24701259220028 0.072 0.17 1
"ADGRG1" 0.00478738542248665 -1.11178422996799 0.032 0.114 1
"CRTAM" 0.0130221811435627 -1.48049099174471 0.096 0.177 1
"CD63" 0.0136810569471258 -1.06276013140146 0.28 0.353 1
"CSF1" 0.021377434885359 -1.13857555612134 0.064 0.137 1
"ZNF683" 0.071244896941262 -1.03673009279947 0.12 0.172 1
